,dt_iso,pressure,humidity,wind_speed,wind_deg,node_id,P1,P2
438,2018-01-17 14:00:00 +0000 UTC,1011,64,8,270,574,2.4942857142857138,0.8933333333333334
439,2018-01-17 15:00:00 +0000 UTC,1012,64,5,270,574,3.2404761904761905,1.4614285714285715
440,2018-01-17 15:00:00 +0000 UTC,1012,64,5,270,574,2.8461904761904755,1.2119047619047618
441,2018-01-17 16:00:00 +0000 UTC,1013,64,6,240,574,3.1666666666666665,1.250952380952381
442,2018-01-17 17:00:00 +0000 UTC,1013,59,6,260,574,5.2057142857142855,1.6223809523809525
443,2018-01-17 17:00:00 +0000 UTC,1013,59,6,260,574,4.26,1.3933333333333333
444,2018-01-17 18:00:00 +0000 UTC,1014,91,8,260,574,4.393809523809524,1.3233333333333337
445,2018-01-17 19:00:00 +0000 UTC,1015,86,1,240,574,3.8819047619047624,1.2614285714285713
446,2018-01-17 19:00:00 +0000 UTC,1015,86,1,240,574,3.4571428571428577,1.1519047619047622
447,2018-01-17 20:00:00 +0000 UTC,1016,74,3,230,574,3.508571428571428,1.2242857142857142
448,2018-01-17 21:00:00 +0000 UTC,1016,69,5,230,574,3.794285714285714,1.2061904761904763
449,2018-01-17 22:00:00 +0000 UTC,1016,74,4,210,574,4.320952380952381,1.3933333333333333
450,2018-01-17 22:00:00 +0000 UTC,1016,74,4,210,574,4.018095238095238,1.2828571428571427
451,2018-01-17 23:00:00 +0000 UTC,1016,64,4,220,574,4.907619047619047,1.3328571428571432
452,2018-01-18 00:00:00 +0000 UTC,1017,80,5,220,574,3.689047619047619,1.3214285714285712
453,2018-01-18 00:00:00 +0000 UTC,1017,80,5,220,574,3.816666666666667,1.0342857142857143
454,2018-01-18 01:00:00 +0000 UTC,1017,60,6,260,574,1.8838095238095238,0.7414285714285713
455,2018-01-18 01:00:00 +0000 UTC,1017,60,6,260,574,2.3004761904761906,0.6247619047619046
456,2018-01-18 02:00:00 +0000 UTC,1016,74,6,230,574,1.2280952380952381,0.61
457,2018-01-18 03:00:00 +0000 UTC,1016,98,6,230,574,1.2904761904761908,0.5161904761904761
458,2018-01-18 04:00:00 +0000 UTC,1014,98,6,220,574,1.9314285714285713,0.9971428571428569
459,2018-01-18 05:00:00 +0000 UTC,1014,96,6,230,574,1.1752380952380954,0.6957142857142856
460,2018-01-18 06:00:00 +0000 UTC,1013,96,6,220,574,1.496190476190476,0.8585714285714287
461,2018-01-18 06:00:00 +0000 UTC,1013,96,6,220,574,1.3147619047619048,0.5614285714285716
462,2018-01-18 07:00:00 +0000 UTC,1012,96,5,210,574,1.5704761904761904,0.8433333333333332
463,2018-01-18 08:00:00 +0000 UTC,1011,89,6,220,574,1.1985714285714284,0.6685714285714286
464,2018-01-18 09:00:00 +0000 UTC,1011,94,7,230,574,1.418095238095238,0.6638095238095238
465,2018-01-18 09:00:00 +0000 UTC,1011,94,7,230,574,0.9571428571428572,0.49761904761904757
466,2018-01-18 10:00:00 +0000 UTC,1011,86,7,240,574,0.7871428571428571,0.4447619047619049
467,2018-01-18 11:00:00 +0000 UTC,1011,80,9,230,574,0.8252380952380953,0.5395238095238096
468,2018-01-18 11:00:00 +0000 UTC,1011,80,9,230,574,1.0371428571428571,0.5823809523809524
469,2018-01-18 12:00:00 +0000 UTC,1011,75,7,220,574,1.3733333333333333,0.6914285714285714
470,2018-01-18 13:00:00 +0000 UTC,1010,80,8,230,574,1.1157142857142857,0.5161904761904762
471,2018-01-18 14:00:00 +0000 UTC,1009,75,11,230,574,0.6538095238095236,0.45428571428571435
472,2018-01-18 14:00:00 +0000 UTC,1009,75,11,230,574,1.571904761904762,0.9090476190476192
473,2018-01-18 15:00:00 +0000 UTC,1008,70,10,230,574,1.1471428571428572,0.7042857142857143
474,2018-01-18 16:00:00 +0000 UTC,1008,75,10,240,574,0.857142857142857,0.5376190476190477
475,2018-01-18 17:00:00 +0000 UTC,1007,70,9,230,574,0.8971428571428571,0.6466666666666666
476,2018-01-18 18:00:00 +0000 UTC,1008,75,12,240,574,1.5019047619047623,1.2966666666666664
477,2018-01-18 19:00:00 +0000 UTC,1007,70,10,230,574,1.4728571428571429,1.1685714285714284
478,2018-01-18 20:00:00 +0000 UTC,1007,75,10,240,574,0.9223809523809524,0.6942857142857143
479,2018-01-18 21:00:00 +0000 UTC,1007,81,10,240,574,0.9495238095238095,0.3866666666666667
480,2018-01-18 22:00:00 +0000 UTC,1007,87,7,250,574,1.3480952380952382,0.5895238095238095
481,2018-01-18 23:00:00 +0000 UTC,1007,87,7,270,574,1.6333333333333335,0.72
482,2018-01-19 00:00:00 +0000 UTC,1007,81,8,260,574,1.6114285714285712,0.5057142857142858
483,2018-01-19 01:00:00 +0000 UTC,1006,46,8,240,574,0.9371428571428573,0.3552380952380953
484,2018-01-19 02:00:00 +0000 UTC,1009,81,8,270,574,1.186190476190476,0.4357142857142857
485,2018-01-19 03:00:00 +0000 UTC,1009,81,5,240,574,2.793333333333333,0.8957142857142857
486,2018-01-19 04:00:00 +0000 UTC,1008,81,5,240,574,2.1514285714285712,0.9942857142857142
487,2018-01-19 05:00:00 +0000 UTC,1009,86,5,250,574,3.0766666666666667,1.1285714285714283
488,2018-01-19 06:00:00 +0000 UTC,1010,86,7,280,574,2.979047619047619,1.2623809523809524
489,2018-01-19 07:00:00 +0000 UTC,1011,80,6,250,574,1.949523809523809,0.8685714285714287
490,2018-01-19 08:00:00 +0000 UTC,1012,86,5,250,574,2.802857142857143,1.3338095238095236
491,2018-01-19 09:00:00 +0000 UTC,1013,100,4,260,574,3.621904761904762,1.6271428571428572
492,2018-01-19 10:00:00 +0000 UTC,1014,100,5,250,574,3.208571428571428,1.1485714285714284
493,2018-01-19 10:00:00 +0000 UTC,1014,100,5,250,574,3.4414285714285713,1.052857142857143
494,2018-01-19 11:00:00 +0000 UTC,1014,80,7,290,574,2.7304761904761907,1.0471428571428572
495,2018-01-19 12:00:00 +0000 UTC,1014,100,5,270,574,3.415238095238096,1.304285714285714
496,2018-01-19 13:00:00 +0000 UTC,1013,60,4,260,574,2.3485714285714288,1.128095238095238
