,Unnamed: 0,Unnamed: 0.1,dt_iso,pressure,humidity,wind_speed,wind_deg,node_id,P1,P2,P1_minus_1,P2_minus_1,humidity_minus_1,pressure_minus_1,wind_deg_minus_1,wind_speed_minus_1,P1_minus_2,P2_minus_2,humidity_minus_2,pressure_minus_2,wind_deg_minus_2,wind_speed_minus_2,P1_minus_3,P2_minus_3,humidity_minus_3,pressure_minus_3,wind_deg_minus_3,wind_speed_minus_3,P1_minus_4,P2_minus_4,humidity_minus_4,pressure_minus_4,wind_deg_minus_4,wind_speed_minus_4,day_in_year,weekday,hour
568,572,572,2018-01-22 01:00:00 +0000 UTC,1015,100,0,0,574,5.665238095238098,4.555714285714286,7.7004761904761905,5.815238095238095,100.0,1015.0,160.0,2.0,6.044761904761906,4.921428571428573,100.0,1015.0,160.0,2.0,5.703333333333332,3.889047619047618,100.0,1015.0,160.0,2.0,4.812857142857143,3.345714285714286,100.0,1016.0,140.0,1.0,22,0,1
569,573,573,2018-01-22 01:00:00 +0000 UTC,1015,100,0,0,574,5.081428571428573,3.81904761904762,5.665238095238098,4.555714285714286,100.0,1015.0,0.0,0.0,7.7004761904761905,5.815238095238095,100.0,1015.0,160.0,2.0,6.044761904761906,4.921428571428573,100.0,1015.0,160.0,2.0,5.703333333333332,3.889047619047618,100.0,1015.0,160.0,2.0,22,0,1
570,574,574,2018-01-22 01:00:00 +0000 UTC,1015,100,0,0,574,3.963809523809524,2.8366666666666664,5.081428571428573,3.81904761904762,100.0,1015.0,0.0,0.0,5.665238095238098,4.555714285714286,100.0,1015.0,0.0,0.0,7.7004761904761905,5.815238095238095,100.0,1015.0,160.0,2.0,6.044761904761906,4.921428571428573,100.0,1015.0,160.0,2.0,22,0,1
571,575,575,2018-01-22 02:00:00 +0000 UTC,1013,93,2,130,574,4.11047619047619,3.194761904761905,3.963809523809524,2.8366666666666664,100.0,1015.0,0.0,0.0,5.081428571428573,3.81904761904762,100.0,1015.0,0.0,0.0,5.665238095238098,4.555714285714286,100.0,1015.0,0.0,0.0,7.7004761904761905,5.815238095238095,100.0,1015.0,160.0,2.0,22,0,2
572,576,576,2018-01-22 02:00:00 +0000 UTC,1013,93,2,130,574,4.8585714285714285,3.811428571428572,4.11047619047619,3.194761904761905,93.0,1013.0,130.0,2.0,3.963809523809524,2.8366666666666664,100.0,1015.0,0.0,0.0,5.081428571428573,3.81904761904762,100.0,1015.0,0.0,0.0,5.665238095238098,4.555714285714286,100.0,1015.0,0.0,0.0,22,0,2
573,577,577,2018-01-22 02:00:00 +0000 UTC,1013,93,2,130,574,4.5014285714285736,3.4057142857142857,4.8585714285714285,3.811428571428572,93.0,1013.0,130.0,2.0,4.11047619047619,3.194761904761905,93.0,1013.0,130.0,2.0,3.963809523809524,2.8366666666666664,100.0,1015.0,0.0,0.0,5.081428571428573,3.81904761904762,100.0,1015.0,0.0,0.0,22,0,2
574,578,578,2018-01-22 03:00:00 +0000 UTC,1012,93,5,150,574,3.612380952380952,2.7485714285714287,4.5014285714285736,3.4057142857142857,93.0,1013.0,130.0,2.0,4.8585714285714285,3.811428571428572,93.0,1013.0,130.0,2.0,4.11047619047619,3.194761904761905,93.0,1013.0,130.0,2.0,3.963809523809524,2.8366666666666664,100.0,1015.0,0.0,0.0,22,0,3
575,579,579,2018-01-22 03:00:00 +0000 UTC,1012,93,5,150,574,4.2109523809523814,3.142380952380953,3.612380952380952,2.7485714285714287,93.0,1012.0,150.0,5.0,4.5014285714285736,3.4057142857142857,93.0,1013.0,130.0,2.0,4.8585714285714285,3.811428571428572,93.0,1013.0,130.0,2.0,4.11047619047619,3.194761904761905,93.0,1013.0,130.0,2.0,22,0,3
576,580,580,2018-01-22 04:00:00 +0000 UTC,1012,93,4,160,574,5.57904761904762,3.8733333333333335,4.2109523809523814,3.142380952380953,93.0,1012.0,150.0,5.0,3.612380952380952,2.7485714285714287,93.0,1012.0,150.0,5.0,4.5014285714285736,3.4057142857142857,93.0,1013.0,130.0,2.0,4.8585714285714285,3.811428571428572,93.0,1013.0,130.0,2.0,22,0,4
577,581,581,2018-01-22 04:00:00 +0000 UTC,1012,93,4,160,574,4.30095238095238,2.936190476190476,5.57904761904762,3.8733333333333335,93.0,1012.0,160.0,4.0,4.2109523809523814,3.142380952380953,93.0,1012.0,150.0,5.0,3.612380952380952,2.7485714285714287,93.0,1012.0,150.0,5.0,4.5014285714285736,3.4057142857142857,93.0,1013.0,130.0,2.0,22,0,4
578,582,582,2018-01-22 05:00:00 +0000 UTC,1012,93,4,170,574,4.333333333333333,3.0390476190476186,4.30095238095238,2.936190476190476,93.0,1012.0,160.0,4.0,5.57904761904762,3.8733333333333335,93.0,1012.0,160.0,4.0,4.2109523809523814,3.142380952380953,93.0,1012.0,150.0,5.0,3.612380952380952,2.7485714285714287,93.0,1012.0,150.0,5.0,22,0,5
579,583,583,2018-01-22 05:00:00 +0000 UTC,1012,93,4,170,574,3.8095238095238084,2.7157142857142857,4.333333333333333,3.0390476190476186,93.0,1012.0,170.0,4.0,4.30095238095238,2.936190476190476,93.0,1012.0,160.0,4.0,5.57904761904762,3.8733333333333335,93.0,1012.0,160.0,4.0,4.2109523809523814,3.142380952380953,93.0,1012.0,150.0,5.0,22,0,5
580,584,584,2018-01-22 05:00:00 +0000 UTC,1012,93,4,170,574,4.32,2.9752380952380952,3.8095238095238084,2.7157142857142857,93.0,1012.0,170.0,4.0,4.333333333333333,3.0390476190476186,93.0,1012.0,170.0,4.0,4.30095238095238,2.936190476190476,93.0,1012.0,160.0,4.0,5.57904761904762,3.8733333333333335,93.0,1012.0,160.0,4.0,22,0,5
581,585,585,2018-01-22 06:00:00 +0000 UTC,1012,87,6,220,574,7.589047619047619,5.371428571428572,4.32,2.9752380952380952,93.0,1012.0,170.0,4.0,3.8095238095238084,2.7157142857142857,93.0,1012.0,170.0,4.0,4.333333333333333,3.0390476190476186,93.0,1012.0,170.0,4.0,4.30095238095238,2.936190476190476,93.0,1012.0,160.0,4.0,22,0,6
582,586,586,2018-01-22 06:00:00 +0000 UTC,1012,87,6,220,574,9.09047619047619,6.722380952380951,7.589047619047619,5.371428571428572,87.0,1012.0,220.0,6.0,4.32,2.9752380952380952,93.0,1012.0,170.0,4.0,3.8095238095238084,2.7157142857142857,93.0,1012.0,170.0,4.0,4.333333333333333,3.0390476190476186,93.0,1012.0,170.0,4.0,22,0,6
583,587,587,2018-01-22 06:00:00 +0000 UTC,1012,87,6,220,574,8.358571428571429,7.19142857142857,9.09047619047619,6.722380952380951,87.0,1012.0,220.0,6.0,7.589047619047619,5.371428571428572,87.0,1012.0,220.0,6.0,4.32,2.9752380952380952,93.0,1012.0,170.0,4.0,3.8095238095238084,2.7157142857142857,93.0,1012.0,170.0,4.0,22,0,6
584,588,588,2018-01-22 07:00:00 +0000 UTC,1012,93,4,210,574,10.127142857142855,7.834761904761906,8.358571428571429,7.19142857142857,87.0,1012.0,220.0,6.0,9.09047619047619,6.722380952380951,87.0,1012.0,220.0,6.0,7.589047619047619,5.371428571428572,87.0,1012.0,220.0,6.0,4.32,2.9752380952380952,93.0,1012.0,170.0,4.0,22,0,7
585,589,589,2018-01-22 07:00:00 +0000 UTC,1012,93,4,210,574,9.434761904761906,7.227142857142859,10.127142857142855,7.834761904761906,93.0,1012.0,210.0,4.0,8.358571428571429,7.19142857142857,87.0,1012.0,220.0,6.0,9.09047619047619,6.722380952380951,87.0,1012.0,220.0,6.0,7.589047619047619,5.371428571428572,87.0,1012.0,220.0,6.0,22,0,7
586,590,590,2018-01-22 07:00:00 +0000 UTC,1012,93,4,210,574,8.075238095238094,6.367619047619049,9.434761904761906,7.227142857142859,93.0,1012.0,210.0,4.0,10.127142857142855,7.834761904761906,93.0,1012.0,210.0,4.0,8.358571428571429,7.19142857142857,87.0,1012.0,220.0,6.0,9.09047619047619,6.722380952380951,87.0,1012.0,220.0,6.0,22,0,7
587,591,591,2018-01-22 09:00:00 +0000 UTC,1013,87,5,230,574,6.504285714285714,5.268571428571428,8.075238095238094,6.367619047619049,93.0,1012.0,210.0,4.0,9.434761904761906,7.227142857142859,93.0,1012.0,210.0,4.0,10.127142857142855,7.834761904761906,93.0,1012.0,210.0,4.0,8.358571428571429,7.19142857142857,87.0,1012.0,220.0,6.0,22,0,9
588,592,592,2018-01-22 09:00:00 +0000 UTC,1013,87,5,230,574,7.664285714285714,5.582857142857144,6.504285714285714,5.268571428571428,87.0,1013.0,230.0,5.0,8.075238095238094,6.367619047619049,93.0,1012.0,210.0,4.0,9.434761904761906,7.227142857142859,93.0,1012.0,210.0,4.0,10.127142857142855,7.834761904761906,93.0,1012.0,210.0,4.0,22,0,9
589,593,593,2018-01-22 10:00:00 +0000 UTC,1013,87,4,270,574,7.568571428571428,6.072857142857143,7.664285714285714,5.582857142857144,87.0,1013.0,230.0,5.0,6.504285714285714,5.268571428571428,87.0,1013.0,230.0,5.0,8.075238095238094,6.367619047619049,93.0,1012.0,210.0,4.0,9.434761904761906,7.227142857142859,93.0,1012.0,210.0,4.0,22,0,10
590,594,594,2018-01-22 11:00:00 +0000 UTC,1013,93,4,230,574,8.883333333333336,6.3742857142857146,7.568571428571428,6.072857142857143,87.0,1013.0,270.0,4.0,7.664285714285714,5.582857142857144,87.0,1013.0,230.0,5.0,6.504285714285714,5.268571428571428,87.0,1013.0,230.0,5.0,8.075238095238094,6.367619047619049,93.0,1012.0,210.0,4.0,22,0,11
591,595,595,2018-01-22 12:00:00 +0000 UTC,1012,93,3,190,574,8.865238095238096,6.506666666666666,8.883333333333336,6.3742857142857146,93.0,1013.0,230.0,4.0,7.568571428571428,6.072857142857143,87.0,1013.0,270.0,4.0,7.664285714285714,5.582857142857144,87.0,1013.0,230.0,5.0,6.504285714285714,5.268571428571428,87.0,1013.0,230.0,5.0,22,0,12
592,596,596,2018-01-22 13:00:00 +0000 UTC,1011,93,3,170,574,9.003809523809524,6.794761904761906,8.865238095238096,6.506666666666666,93.0,1012.0,190.0,3.0,8.883333333333336,6.3742857142857146,93.0,1013.0,230.0,4.0,7.568571428571428,6.072857142857143,87.0,1013.0,270.0,4.0,7.664285714285714,5.582857142857144,87.0,1013.0,230.0,5.0,22,0,13
593,597,597,2018-01-22 14:00:00 +0000 UTC,1010,93,3,190,574,9.446666666666667,7.542380952380951,9.003809523809524,6.794761904761906,93.0,1011.0,170.0,3.0,8.865238095238096,6.506666666666666,93.0,1012.0,190.0,3.0,8.883333333333336,6.3742857142857146,93.0,1013.0,230.0,4.0,7.568571428571428,6.072857142857143,87.0,1013.0,270.0,4.0,22,0,14
594,598,598,2018-01-22 15:00:00 +0000 UTC,1010,87,7,230,574,9.585238095238095,7.368571428571429,9.446666666666667,7.542380952380951,93.0,1010.0,190.0,3.0,9.003809523809524,6.794761904761906,93.0,1011.0,170.0,3.0,8.865238095238096,6.506666666666666,93.0,1012.0,190.0,3.0,8.883333333333336,6.3742857142857146,93.0,1013.0,230.0,4.0,22,0,15
595,599,599,2018-01-22 15:00:00 +0000 UTC,1010,87,7,230,574,8.756666666666668,6.936190476190476,9.585238095238095,7.368571428571429,87.0,1010.0,230.0,7.0,9.446666666666667,7.542380952380951,93.0,1010.0,190.0,3.0,9.003809523809524,6.794761904761906,93.0,1011.0,170.0,3.0,8.865238095238096,6.506666666666666,93.0,1012.0,190.0,3.0,22,0,15
596,600,600,2018-01-22 16:00:00 +0000 UTC,1011,81,6,280,574,9.823333333333332,7.752857142857143,8.756666666666668,6.936190476190476,87.0,1010.0,230.0,7.0,9.585238095238095,7.368571428571429,87.0,1010.0,230.0,7.0,9.446666666666667,7.542380952380951,93.0,1010.0,190.0,3.0,9.003809523809524,6.794761904761906,93.0,1011.0,170.0,3.0,22,0,16
597,601,601,2018-01-22 17:00:00 +0000 UTC,1012,81,6,230,574,7.595714285714285,6.160000000000001,9.823333333333332,7.752857142857143,81.0,1011.0,280.0,6.0,8.756666666666668,6.936190476190476,87.0,1010.0,230.0,7.0,9.585238095238095,7.368571428571429,87.0,1010.0,230.0,7.0,9.446666666666667,7.542380952380951,93.0,1010.0,190.0,3.0,22,0,17
598,602,602,2018-01-22 18:00:00 +0000 UTC,1012,81,6,230,574,8.996190476190472,7.060476190476191,7.595714285714285,6.160000000000001,81.0,1012.0,230.0,6.0,9.823333333333332,7.752857142857143,81.0,1011.0,280.0,6.0,8.756666666666668,6.936190476190476,87.0,1010.0,230.0,7.0,9.585238095238095,7.368571428571429,87.0,1010.0,230.0,7.0,22,0,18
599,603,603,2018-01-22 19:00:00 +0000 UTC,1013,87,4,250,574,9.807619047619047,8.020476190476192,8.996190476190472,7.060476190476191,81.0,1012.0,230.0,6.0,7.595714285714285,6.160000000000001,81.0,1012.0,230.0,6.0,9.823333333333332,7.752857142857143,81.0,1011.0,280.0,6.0,8.756666666666668,6.936190476190476,87.0,1010.0,230.0,7.0,22,0,19
600,604,604,2018-01-22 20:00:00 +0000 UTC,1015,81,7,290,574,9.901428571428571,8.164285714285715,9.807619047619047,8.020476190476192,87.0,1013.0,250.0,4.0,8.996190476190472,7.060476190476191,81.0,1012.0,230.0,6.0,7.595714285714285,6.160000000000001,81.0,1012.0,230.0,6.0,9.823333333333332,7.752857142857143,81.0,1011.0,280.0,6.0,22,0,20
601,605,605,2018-01-22 21:00:00 +0000 UTC,1017,87,0,360,574,9.621904761904759,7.615238095238098,9.901428571428571,8.164285714285715,81.0,1015.0,290.0,7.0,9.807619047619047,8.020476190476192,87.0,1013.0,250.0,4.0,8.996190476190472,7.060476190476191,81.0,1012.0,230.0,6.0,7.595714285714285,6.160000000000001,81.0,1012.0,230.0,6.0,22,0,21
602,606,606,2018-01-22 22:00:00 +0000 UTC,1018,93,1,0,574,9.564761904761905,7.410952380952381,9.621904761904759,7.615238095238098,87.0,1017.0,360.0,0.0,9.901428571428571,8.164285714285715,81.0,1015.0,290.0,7.0,9.807619047619047,8.020476190476192,87.0,1013.0,250.0,4.0,8.996190476190472,7.060476190476191,81.0,1012.0,230.0,6.0,22,0,22
603,607,607,2018-01-22 23:00:00 +0000 UTC,1019,93,1,0,574,9.447142857142856,7.5423809523809515,9.564761904761905,7.410952380952381,93.0,1018.0,0.0,1.0,9.621904761904759,7.615238095238098,87.0,1017.0,360.0,0.0,9.901428571428571,8.164285714285715,81.0,1015.0,290.0,7.0,9.807619047619047,8.020476190476192,87.0,1013.0,250.0,4.0,22,0,23
604,608,608,2018-01-22 23:00:00 +0000 UTC,1019,93,1,0,574,10.642380952380947,8.342857142857143,9.447142857142856,7.5423809523809515,93.0,1019.0,0.0,1.0,9.564761904761905,7.410952380952381,93.0,1018.0,0.0,1.0,9.621904761904759,7.615238095238098,87.0,1017.0,360.0,0.0,9.901428571428571,8.164285714285715,81.0,1015.0,290.0,7.0,22,0,23
605,609,609,2018-01-23 00:00:00 +0000 UTC,1021,87,2,250,574,13.402857142857142,10.245714285714287,10.642380952380947,8.342857142857143,93.0,1019.0,0.0,1.0,9.447142857142856,7.5423809523809515,93.0,1019.0,0.0,1.0,9.564761904761905,7.410952380952381,93.0,1018.0,0.0,1.0,9.621904761904759,7.615238095238098,87.0,1017.0,360.0,0.0,23,1,0
606,610,610,2018-01-23 00:00:00 +0000 UTC,1021,87,2,250,574,15.422380952380953,11.91190476190476,13.402857142857142,10.245714285714287,87.0,1021.0,250.0,2.0,10.642380952380947,8.342857142857143,93.0,1019.0,0.0,1.0,9.447142857142856,7.5423809523809515,93.0,1019.0,0.0,1.0,9.564761904761905,7.410952380952381,93.0,1018.0,0.0,1.0,23,1,0
607,611,611,2018-01-23 01:00:00 +0000 UTC,1022,93,2,250,574,12.431428571428572,9.00904761904762,15.422380952380953,11.91190476190476,87.0,1021.0,250.0,2.0,13.402857142857142,10.245714285714287,87.0,1021.0,250.0,2.0,10.642380952380947,8.342857142857143,93.0,1019.0,0.0,1.0,9.447142857142856,7.5423809523809515,93.0,1019.0,0.0,1.0,23,1,1
608,612,612,2018-01-23 01:00:00 +0000 UTC,1022,93,2,250,574,12.080952380952379,9.530952380952384,12.431428571428572,9.00904761904762,93.0,1022.0,250.0,2.0,15.422380952380953,11.91190476190476,87.0,1021.0,250.0,2.0,13.402857142857142,10.245714285714287,87.0,1021.0,250.0,2.0,10.642380952380947,8.342857142857143,93.0,1019.0,0.0,1.0,23,1,1
609,613,613,2018-01-23 02:00:00 +0000 UTC,1022,87,4,270,574,11.943809523809525,9.556190476190476,12.080952380952379,9.530952380952384,93.0,1022.0,250.0,2.0,12.431428571428572,9.00904761904762,93.0,1022.0,250.0,2.0,15.422380952380953,11.91190476190476,87.0,1021.0,250.0,2.0,13.402857142857142,10.245714285714287,87.0,1021.0,250.0,2.0,23,1,2
610,614,614,2018-01-23 02:00:00 +0000 UTC,1022,87,4,270,574,9.244761904761905,7.654285714285713,11.943809523809525,9.556190476190476,87.0,1022.0,270.0,4.0,12.080952380952379,9.530952380952384,93.0,1022.0,250.0,2.0,12.431428571428572,9.00904761904762,93.0,1022.0,250.0,2.0,15.422380952380953,11.91190476190476,87.0,1021.0,250.0,2.0,23,1,2
611,615,615,2018-01-23 03:00:00 +0000 UTC,1023,81,3,320,574,5.582857142857142,4.749523809523812,9.244761904761905,7.654285714285713,87.0,1022.0,270.0,4.0,11.943809523809525,9.556190476190476,87.0,1022.0,270.0,4.0,12.080952380952379,9.530952380952384,93.0,1022.0,250.0,2.0,12.431428571428572,9.00904761904762,93.0,1022.0,250.0,2.0,23,1,3
612,616,616,2018-01-23 03:00:00 +0000 UTC,1023,81,3,320,574,3.7590476190476174,2.9509523809523808,5.582857142857142,4.749523809523812,81.0,1023.0,320.0,3.0,9.244761904761905,7.654285714285713,87.0,1022.0,270.0,4.0,11.943809523809525,9.556190476190476,87.0,1022.0,270.0,4.0,12.080952380952379,9.530952380952384,93.0,1022.0,250.0,2.0,23,1,3
613,617,617,2018-01-23 04:00:00 +0000 UTC,1024,81,5,280,574,3.450476190476192,2.6728571428571426,3.7590476190476174,2.9509523809523808,81.0,1023.0,320.0,3.0,5.582857142857142,4.749523809523812,81.0,1023.0,320.0,3.0,9.244761904761905,7.654285714285713,87.0,1022.0,270.0,4.0,11.943809523809525,9.556190476190476,87.0,1022.0,270.0,4.0,23,1,4
614,618,618,2018-01-23 04:00:00 +0000 UTC,1024,81,5,280,574,2.3385714285714285,1.5828571428571423,3.450476190476192,2.6728571428571426,81.0,1024.0,280.0,5.0,3.7590476190476174,2.9509523809523808,81.0,1023.0,320.0,3.0,5.582857142857142,4.749523809523812,81.0,1023.0,320.0,3.0,9.244761904761905,7.654285714285713,87.0,1022.0,270.0,4.0,23,1,4
615,619,619,2018-01-23 05:00:00 +0000 UTC,1024,80,2,280,574,1.9095238095238087,1.413333333333333,2.3385714285714285,1.5828571428571423,81.0,1024.0,280.0,5.0,3.450476190476192,2.6728571428571426,81.0,1024.0,280.0,5.0,3.7590476190476174,2.9509523809523808,81.0,1023.0,320.0,3.0,5.582857142857142,4.749523809523812,81.0,1023.0,320.0,3.0,23,1,5
